code	description	type
A10BD14	metformin and repaglinide	ATC
A10BD15	metformin and dapagliflozin	ATC
A10BD16	metformin and canagliflozin	ATC
A10BD17	metformin and acarbose	ATC
A10BD18	metformin and gemigliptin	ATC
A10BD19	linagliptin and empagliflozin	ATC
A10BD20	metformin and empagliflozin	ATC
A10BD21	saxagliptin and dapagliflozin	ATC
A10BD22	metformin and evogliptin	ATC
A10BD23	metformin and ertugliflozin	ATC
A10BD24	sitagliptin and ertugliflozin	ATC
A10BD25	metformin, saxagliptin and dapagliflozin	ATC
A10BD26	metformin and lobeglitazone	ATC
A10BF	Alpha glucosidase inhibitors	ATC
A10BF01	acarbose	ATC
A10BF02	miglitol	ATC
A10BF03	voglibose	ATC
A10BG	Thiazolidinediones	ATC
A10BG01	troglitazone	ATC
A10BG02	rosiglitazone	ATC
A10BG03	pioglitazone	ATC
A10BG04	lobeglitazone	ATC
A10BH	Dipeptidyl peptidase 4 (DPP-4) inhibitors	ATC
A10BH01	sitagliptin	ATC
A10BH02	vildagliptin	ATC
A10BH03	saxagliptin	ATC
A10BH04	alogliptin	ATC
A10BH05	linagliptin	ATC
A10BH06	gemigliptin	ATC
A10BH07	evogliptin	ATC
A10BH08	teneligliptin	ATC
A10BH51	sitagliptin and simvastatin	ATC
A10BH52	gemigliptin and rosuvastatin	ATC
A10BJ	Glucagon-like peptide-1 (GLP-1) analogues	ATC
A10BJ01	exenatide	ATC
A10BJ01	exenatide	ATC
A10BJ02	liraglutide	ATC
A10BJ03	lixisenatide	ATC
A10BJ04	albiglutide	ATC
A10BJ05	dulaglutide	ATC
A10BJ06	semaglutide	ATC
A10BJ07	beinaglutide	ATC
A10BK	Sodium-glucose co-transporter 2 (SGLT2) inhibitors	ATC
A10BK01	dapagliflozin	ATC
A10BK02	canagliflozin	ATC
A10BK03	empagliflozin	ATC
A10BK04	ertugliflozin	ATC
A10BK05	ipragliflozin	ATC
A10BK06	sotagliflozin	ATC
A10BK07	luseogliflozin	ATC
A10BX	Other blood glucose lowering drugs, excl. insulins	ATC
A10BX01	guar gum	ATC
A10BX02	repaglinide	ATC
A10BX03	nateglinide	ATC
A10BX05	pramlintide	ATC
A10BX06	benfluorex	ATC
A10BX08	mitiglinide	ATC
A10X	OTHER DRUGS USED IN DIABETES	ATC
A10XA	Aldose reductase inhibitors	ATC
A10XA01	tolrestat	ATC
A11A	MULTIVITAMINS, COMBINATIONS	ATC
A11AA	Multivitamins with minerals	ATC
A11AA01	multivitamins and iron	ATC
A11AA02	multivitamins and calcium	ATC
A11AA03	multivitamins and other minerals, incl. combinations	ATC
A11AA04	multivitamins and trace elements	ATC
A11AB	Multivitamins, other combinations	ATC
A11B	MULTIVITAMINS, PLAIN	ATC
A11BA	Multivitamins, plain	ATC
A11C	VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO	ATC
A11CA	Vitamin A, plain	ATC
A11CA01	retinol (vit A)	ATC
A11CA01	retinol (vit A)	ATC
A11CA02	betacarotene	ATC
A11CB	Vitamin A and D in combination	ATC
A11CC	Vitamin D and analogues	ATC
A11CC01	ergocalciferol	ATC
A11CC02	dihydrotachysterol	ATC
A11CC03	alfacalcidol	ATC
A11CC03	alfacalcidol	ATC
A11CC04	calcitriol	ATC
A11CC04	calcitriol	ATC
A11CC05	colecalciferol	ATC
A11CC06	calcifediol	ATC
A11CC20	combinations	ATC
A11CC55	colecalciferol, combinations	ATC
A11D	VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12	ATC
A11DA	Vitamin B1, plain	ATC
A11DA01	thiamine (vit B1)	ATC
A11DA01	thiamine (vit B1)	ATC
A11DA02	sulbutiamine	ATC
A11DA03	benfotiamine	ATC
A11DB	Vitamin B1 in combination with vitamin B6 and/or vitamin B12	ATC
A11E	VITAMIN B-COMPLEX, INCL. COMBINATIONS	ATC
A11EA	Vitamin B-complex, plain	ATC
A11EB	Vitamin B-complex with vitamin C	ATC
A11EC	Vitamin B-complex with minerals	ATC
A11ED	Vitamin B-complex with anabolic steroids	ATC
A11EX	Vitamin B-complex, other combinations	ATC
A11G	ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS	ATC
A11GA	Ascorbic acid (vitamin C), plain	ATC
A11GA01	ascorbic acid (vit C)	ATC
A11GA01	ascorbic acid (vit C)	ATC
A11GB	Ascorbic acid (vitamin C), combinations	ATC
A11GB01	ascorbic acid (vit C) and calcium	ATC
A11H	OTHER PLAIN VITAMIN PREPARATIONS	ATC
A11HA	Other plain vitamin preparations	ATC
A11HA01	nicotinamide	ATC
A11HA02	pyridoxine (vit B6)	ATC
A11HA02	pyridoxine (vit B6)	ATC
A11HA03	tocopherol (vit E)	ATC
A11HA03	tocopherol (vit E)	ATC
A11HA04	riboflavin (vit B2)	ATC
A11HA05	biotin	ATC
A11HA06	pyridoxal phosphate	ATC
A11HA07	inositol	ATC
A11HA08	tocofersolan	ATC
A11HA30	dexpanthenol	ATC
A11HA31	calcium pantothenate	ATC
A11HA32	pantethine	ATC
A11J	OTHER VITAMIN PRODUCTS, COMBINATIONS	ATC
A11JA	Combinations of vitamins	ATC
A11JB	Vitamins with minerals	ATC
A11JC	Vitamins, other combinations	ATC
A12A	CALCIUM	ATC
A12AA	Calcium	ATC
A12AA01	calcium phosphate	ATC
A12AA02	calcium glubionate	ATC
A12AA03	calcium gluconate	ATC
A12AA03	calcium gluconate	ATC
A12AA04	calcium carbonate	ATC
A12AA05	calcium lactate	ATC
A12AA06	calcium lactate gluconate	ATC
A12AA07	calcium chloride	ATC
A12AA08	calcium glycerylphosphate	ATC
A12AA09	calcium citrate lysine complex	ATC
A12AA10	calcium glucoheptonate	ATC
A12AA11	calcium pangamate	ATC
A12AA13	calcium citrate	ATC
A12AA20	calcium (different salts in combination)	ATC
A12AA30	calcium laevulate	ATC
A12AX	Calcium, combinations with vitamin D and/or other drugs	ATC
A12B	POTASSIUM	ATC
A12BA	Potassium	ATC
A12BA01	potassium chloride	ATC
A12BA02	potassium citrate	ATC
A12BA03	potassium hydrogentartrate	ATC
A12BA04	potassium hydrogencarbonate	ATC
A12BA05	potassium gluconate	ATC
A12BA30	potassium (different salts in combination)	ATC
A12BA51	potassium chloride, combinations	ATC
A12C	OTHER MINERAL SUPPLEMENTS	ATC
A12CA	Sodium	ATC
A12CA01	sodium chloride	ATC
A12CA02	sodium sulfate	ATC
A12CB	Zinc	ATC
A12CB01	zinc sulfate	ATC
A12CB02	zinc gluconate	ATC
A12CB03	zinc protein complex	ATC
A12CC	Magnesium	ATC
A12CC01	magnesium chloride	ATC
A12CC01	magnesium chloride	ATC
A12CC02	magnesium sulfate	ATC
A12CC02	magnesium sulfate	ATC
A12CC03	magnesium gluconate	ATC
A12CC04	magnesium citrate	ATC
A12CC05	magnesium aspartate	ATC
A12CC06	magnesium lactate	ATC
A12CC07	magnesium levulinate	ATC
A12CC08	magnesium pidolate	ATC
A12CC09	magnesium orotate	ATC
A12CC10	magnesium oxide	ATC
A12CC30	magnesium (different salts in combination)	ATC
A12CD	Fluoride	ATC
A12CD01	sodium fluoride	ATC
A12CD02	sodium monofluorophosphate	ATC
A12CD51	fluoride, combinations	ATC
A12CE	Selenium	ATC
A12CE01	sodium selenate	ATC
A12CE02	sodium selenite	ATC
A12CE02	sodium selenite	ATC
A12CX	Other mineral products	ATC
A13A	TONICS	ATC
A14A	ANABOLIC STEROIDS	ATC
A14AA	Androstan derivatives	ATC
A14AA01	androstanolone	ATC
A14AA02	stanozolol	ATC
A14AA02	stanozolol	ATC
A14AA03	metandienone	ATC
A14AA04	metenolone	ATC
A14AA04	metenolone	ATC
A14AA05	oxymetholone	ATC
A14AA06	quinbolone	ATC
A14AA07	prasterone	ATC
A14AA08	oxandrolone	ATC
A14AA09	norethandrolone	ATC
A14AB	Estren derivatives	ATC
A14AB01	nandrolone	ATC
A14AB02	ethylestrenol	ATC
A14AB03	oxabolone cipionate	ATC
A14B	OTHER ANABOLIC AGENTS	ATC
A16A	OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS	ATC
A16AA	Amino acids and derivatives	ATC
A16AA01	levocarnitine	ATC
A16AA01	levocarnitine	ATC
A16AA02	ademetionine	ATC
A16AA03	glutamine	ATC
A16AA04	mercaptamine	ATC
A16AA05	carglumic acid	ATC
A16AA06	betaine	ATC
A16AA07	metreleptin	ATC
A16AB	Enzymes	ATC
A16AB01	alglucerase	ATC
A16AB02	imiglucerase	ATC
A16AB03	agalsidase alfa	ATC
A16AB04	agalsidase beta	ATC
A16AB05	laronidase	ATC
A16AB06	sacrosidase	ATC
A16AB07	alglucosidase alfa	ATC
A16AB08	galsulfase	ATC
A16AB09	idursulfase	ATC
A16AB10	velaglucerase alfa	ATC
A16AB11	taliglucerase alfa	ATC
A16AB12	elosulfase alfa	ATC
A16AB13	asfotase alfa	ATC
A16AB14	sebelipase alfa	ATC
A16AB15	velmanase alfa	ATC
A16AB16	idursulfase beta	ATC
A16AB17	cerliponase alfa	ATC
A16AB18	vestronidase alfa	ATC
A16AB19	pegvaliase	ATC
A16AX	Various alimentary tract and metabolism products	ATC
A16AX01	thioctic acid	ATC
A16AX01	thioctic acid	ATC
A16AX02	anethole trithione	ATC
A16AX03	sodium phenylbutyrate	ATC
A16AX04	nitisinone	ATC
A16AX05	zinc acetate	ATC
A16AX06	miglustat	ATC
A16AX07	sapropterin	ATC
A16AX08	teduglutide	ATC
A16AX09	glycerol phenylbutyrate	ATC
A16AX10	eliglustat	ATC
A16AX11	sodium benzoate	ATC
A16AX12	trientine	ATC
A16AX13	uridine triacetate	ATC
A16AX14	migalastat	ATC
A16AX15	telotristat	ATC
A16AX16	givosiran	ATC
A16AX17	triheptanoin	ATC
A16AX18	lumasiran	ATC
A16AX30	sodium benzoate and sodium phenylacetate	ATC
B01A	ANTITHROMBOTIC AGENTS	ATC
B01AA	Vitamin K antagonists	ATC
B01AA01	dicoumarol	ATC
B01AA02	phenindione	ATC
B01AA03	warfarin	ATC
B01AA03	warfarin	ATC
B01AA04	phenprocoumon	ATC
B01AA07	acenocoumarol	ATC
B01AA08	ethyl biscoumacetate	ATC
B01AA09	clorindione	ATC
B01AA10	diphenadione	ATC
B01AA11	tioclomarol	ATC
B01AA12	fluindione	ATC
B01AB	Heparin group	ATC
B01AB01	heparin	ATC
B01AB02	antithrombin III	ATC
B01AB04	dalteparin	ATC
B01AB05	enoxaparin	ATC
B01AB06	nadroparin	ATC
B01AB07	parnaparin	ATC
B01AB08	reviparin	ATC
B01AB09	danaparoid	ATC
B01AB10	tinzaparin	ATC
B01AB11	sulodexide	ATC
B01AB11	sulodexide	ATC
B01AB12	bemiparin	ATC
B01AB51	heparin, combinations	ATC
B01AC	Platelet aggregation inhibitors excl. heparin	ATC
B01AC01	ditazole	ATC
B01AC02	cloricromen	ATC
B01AC03	picotamide	ATC
B01AC04	clopidogrel	ATC
B01AC05	ticlopidine	ATC
B01AC06	acetylsalicylic acid	ATC
B01AC07	dipyridamole	ATC
B01AC07	dipyridamole	ATC
B01AC08	carbasalate calcium	ATC
B01AC09	epoprostenol	ATC
B01AC10	indobufen	ATC
B01AC11	iloprost	ATC
B01AC11	iloprost	ATC
B01AC13	abciximab	ATC
B01AC15	aloxiprin	ATC
B01AC16	eptifibatide	ATC
B01AC17	tirofiban	ATC
B01AC18	triflusal	ATC
B01AC19	beraprost	ATC
B01AC21	treprostinil	ATC
B01AC22	prasugrel	ATC
B01AC23	cilostazol	ATC
B01AC24	ticagrelor	ATC
B01AC25	cangrelor	ATC
B01AC26	vorapaxar	ATC
B01AC27	selexipag	ATC
B01AC30	combinations	ATC
B01AC56	acetylsalicylic acid, combinations with proton pump inhibitors	ATC
B01AD	Enzymes	ATC
B01AD01	streptokinase	ATC
B01AD02	alteplase	ATC
B01AD03	anistreplase	ATC
B01AD04	urokinase	ATC
B01AD05	fibrinolysin	ATC
B01AD06	brinase	ATC
B01AD07	reteplase	ATC
B01AD08	saruplase	ATC
B01AD09	ancrod	ATC
B01AD10	drotrecogin alfa (activated)	ATC
B01AD11	tenecteplase	ATC
B01AD12	protein C	ATC
B01AE	Direct thrombin inhibitors	ATC
B01AE01	desirudin	ATC
B01AE02	lepirudin	ATC
B01AE03	argatroban	ATC
B01AE04	melagatran	ATC
B01AE05	ximelagatran	ATC
B01AE06	bivalirudin	ATC
B01AE07	dabigatran etexilate	ATC
B01AF	Direct factor Xa inhibitors	ATC
B01AF01	rivaroxaban	ATC
B01AF02	apixaban	ATC
B01AF03	edoxaban	ATC
B01AF04	betrixaban	ATC
B01AX	Other antithrombotic agents	ATC
B01AX01	defibrotide	ATC
B01AX04	dermatan sulfate	ATC
B01AX05	fondaparinux	ATC
B01AX07	caplacizumab	ATC
B02A	ANTIFIBRINOLYTICS	ATC
B02AA	Amino acids	ATC
B02AA01	aminocaproic acid	ATC
B02AA01	aminocaproic acid	ATC
B02AA02	tranexamic acid	ATC
B02AA02	tranexamic acid	ATC
B02AA03	aminomethylbenzoic acid	ATC
B02AB	Proteinase inhibitors	ATC
B02AB01	aprotinin	ATC
B02AB02	alfa1 antitrypsin	ATC
B02AB04	camostat	ATC
B02AB05	ulinastatin	ATC
B02B	VITAMIN K AND OTHER HEMOSTATICS	ATC
B02BA	Vitamin K	ATC
B02BA01	phytomenadione	ATC
B02BA01	phytomenadione	ATC
B02BA02	menadione	ATC
B02BA02	menadione	ATC
B02BB	Fibrinogen	ATC
B02BB01	fibrinogen, human	ATC
B02BC	Local hemostatics	ATC
B02BC01	absorbable gelatin sponge	ATC
B02BC02	oxidized cellulose	ATC
B02BC03	tetragalacturonic acid hydroxymethylester	ATC
B02BC05	adrenalone	ATC
B02BC06	thrombin	ATC
B02BC07	collagen	ATC
B02BC08	calcium alginate	ATC
B02BC09	epinephrine	ATC
B02BC30	combinations	ATC
B02BD	Blood coagulation factors	ATC
B02BD01	coagulation factor IX, II, VII and X in combination	ATC
B02BD02	coagulation factor VIII	ATC
B02BD03	factor VIII inhibitor bypassing activity	ATC
B02BD04	coagulation factor IX	ATC
B02BD05	coagulation factor VII	ATC
B02BD06	von Willebrand factor and coagulation factor VIII in combination	ATC
B02BD07	coagulation factor XIII	ATC
B02BD08	coagulation factor VIIa	ATC
B02BD10	von Willebrand factor	ATC
B02BD11	catridecacog	ATC
B02BD13	coagulation factor X	ATC
B02BD14	susoctocog alfa	ATC
B02BD30	thrombin	ATC
B02BX	Other systemic hemostatics	ATC
B02BX01	etamsylate	ATC
B02BX02	carbazochrome	ATC
B02BX03	batroxobin	ATC
B02BX04	romiplostim	ATC
B02BX05	eltrombopag	ATC
B02BX06	emicizumab	ATC
B02BX07	lusutrombopag	ATC
B02BX08	avatrombopag	ATC
B02BX09	fostamatinib	ATC
B03A	IRON PREPARATIONS	ATC
B03AA	Iron bivalent, oral preparations	ATC
B03AA01	ferrous glycine sulfate	ATC
B03AA02	ferrous fumarate	ATC
B03AA03	ferrous gluconate	ATC
B03AA04	ferrous carbonate	ATC
B03AA05	ferrous chloride	ATC
B03AA06	ferrous succinate	ATC
B03AA07	ferrous sulfate	ATC
B03AA08	ferrous tartrate	ATC
B03AA09	ferrous aspartate	ATC
B03AA10	ferrous ascorbate	ATC
B03AA11	ferrous iodine	ATC
B03AA12	ferrous sodium citrate	ATC
B03AB	Iron trivalent, oral preparations	ATC
B03AB01	ferric sodium citrate	ATC
B03AB02	saccharated iron oxide	ATC
B03AB03	sodium feredetate	ATC
B03AB04	ferric hydroxide	ATC
B03AB05	ferric oxide polymaltose complexes	ATC
B03AB07	chondroitin sulfate-iron complex	ATC
B03AB08	ferric acetyl transferrin	ATC
B03AB09	ferric proteinsuccinylate	ATC
B03AB10	ferric maltol	ATC
B03AC	Iron, parenteral preparations	ATC
B03AD	Iron in combination with folic acid	ATC
B03AD01	ferrous amino acid complex	ATC
B03AD02	ferrous fumarate	ATC
B03AD03	ferrous sulfate	ATC
B03AD04	ferric oxide polymaltose complexes	ATC
B03AD05	ferrous gluconate	ATC
B03AE	Iron in other combinations	ATC
B03AE01	iron, vitamin B12 and folic acid	ATC
B03AE02	iron, multivitamins and folic acid	ATC
B03AE03	iron and multivitamins	ATC
B03AE04	iron, multivitamins and minerals	ATC
B03AE10	various combinations	ATC
B03B	VITAMIN B12 AND FOLIC ACID	ATC
B03BA	Vitamin B12 (cyanocobalamin and analogues)	ATC
B03BA01	cyanocobalamin	ATC
B03BA01	cyanocobalamin	ATC
B03BA01	cyanocobalamin	ATC
B03BA02	cyanocobalamin tannin complex	ATC
B03BA03	hydroxocobalamin	ATC
B03BA04	cobamamide	ATC
B03BA05	mecobalamin	ATC
B03BA05	mecobalamin	ATC
B03BA51	cyanocobalamin, combinations	ATC
B03BA53	hydroxocobalamin, combinations	ATC
B03BB	Folic acid and derivatives	ATC
B03BB01	folic acid	ATC
B03BB01	folic acid	ATC
B03BB51	folic acid, combinations	ATC
B03X	OTHER ANTIANEMIC PREPARATIONS	ATC
B03XA	Other antianemic preparations	ATC
B03XA01	erythropoietin	ATC
B03XA02	darbepoetin alfa	ATC
B03XA03	methoxy polyethylene glycol-epoetin beta	ATC
B03XA04	peginesatide	ATC
B03XA05	roxadustat	ATC
B03XA06	luspatercept	ATC
B05A	BLOOD AND RELATED PRODUCTS	ATC
B05AA	Blood substitutes and plasma protein fractions	ATC
B05AA01	albumin	ATC
B05AA02	other plasma protein fractions	ATC
B05AA03	fluorocarbon blood substitutes	ATC
B05AA05	dextran	ATC
B05AA06	gelatin agents	ATC
B05AA07	hydroxyethylstarch	ATC
B05AA08	hemoglobin crosfumaril	ATC
B05AA09	hemoglobin raffimer	ATC
B05AA10	hemoglobin glutamer (bovine)	ATC
B05AX	Other blood products	ATC
B05AX01	erythrocytes	ATC
B05AX02	thrombocytes	ATC
B05AX03	blood plasma	ATC
B05AX04	stem cells from umbilical cord blood	ATC
B05B	I.V. SOLUTIONS	ATC
B05BA	Solutions for parenteral nutrition	ATC
B05BA01	amino acids	ATC
B05BA02	fat emulsions	ATC
B05BA03	carbohydrates	ATC
B05BA04	protein hydrolysates	ATC
B05BA10	combinations	ATC
B05BB	Solutions affecting the electrolyte balance	ATC
B05BB01	electrolytes	ATC
B05BB02	electrolytes with carbohydrates	ATC
B05BB03	trometamol	ATC
B05BB04	electrolytes in combination with other drugs	ATC
B05BC	Solutions producing osmotic diuresis	ATC
B05BC01	mannitol	ATC
B05BC02	carbamide	ATC
B05C	IRRIGATING SOLUTIONS	ATC
B05CA	Antiinfectives	ATC
B05CA01	cetylpyridinium	ATC
B05CA02	chlorhexidine	ATC
B05CA03	nitrofural	ATC
B05CA04	sulfamethizole	ATC
B05CA05	taurolidine	ATC
B05CA06	mandelic acid	ATC
B05CA07	noxytiolin	ATC
B05CA08	ethacridine lactate	ATC
B05CA09	neomycin	ATC
B05CA10	combinations	ATC
B05CB	Salt solutions	ATC
B05CB01	sodium chloride	ATC
B05CB02	sodium citrate	ATC
B05CB03	magnesium citrate	ATC
B05CB04	sodium bicarbonate	ATC
B05CB10	combinations	ATC
B05CX	Other irrigating solutions	ATC
B05CX01	glucose	ATC
B05CX02	sorbitol	ATC
B05CX03	glycine	ATC
B05CX04	mannitol	ATC
B05CX10	combinations	ATC
B05D	PERITONEAL DIALYTICS	ATC
B05DA	Isotonic solutions	ATC
B05DB	Hypertonic solutions	ATC
B05X	I.V. SOLUTION ADDITIVES	ATC
B05XA	Electrolyte solutions	ATC
B05XA01	potassium chloride	ATC
B05XA02	sodium bicarbonate	ATC
B05XA03	sodium chloride	ATC
B05XA04	ammonium chloride	ATC
B05XA05	magnesium sulfate	ATC
B05XA06	potassium phosphate, incl. combinations with other potassium salts	ATC
B05XA07	calcium chloride	ATC
B05XA08	sodium acetate	ATC
B05XA09	sodium phosphate	ATC
B05XA10	magnesium phosphate	ATC
B05XA11	magnesium chloride	ATC
B05XA12	zinc chloride	ATC
B05XA13	hydrochloric acid	ATC
B05XA14	sodium glycerophosphate	ATC
B05XA15	potassium lactate	ATC
B05XA16	cardioplegia solutions	ATC
B05XA17	potassium acetate	ATC
B05XA18	zinc sulfate	ATC
B05XA30	combinations of electrolytes	ATC
B05XA31	electrolytes in combination with other drugs	ATC
B05XB	Amino acids	ATC
B05XB01	arginine hydrochloride	ATC
B05XB02	alanyl glutamine	ATC
B05XB03	lysine	ATC
B05XC	Vitamins	ATC
B05XX	Other i.v. solution additives	ATC
B05XX02	trometamol	ATC
B05Z	HEMODIALYTICS AND HEMOFILTRATES	ATC
B05ZA	Hemodialytics, concentrates	ATC
B05ZB	Hemofiltrates	ATC
B06A	OTHER HEMATOLOGICAL AGENTS	ATC
B06AA	Enzymes	ATC
B06AA02	fibrinolysin and desoxyribonuclease	ATC
B06AA03	hyaluronidase	ATC
B06AA04	chymotrypsin	ATC
B06AA07	trypsin	ATC
B06AA10	desoxyribonuclease	ATC
B06AA55	streptokinase, combinations	ATC
B06AB	Heme products	ATC
B06AB01	hemin	ATC
B06AC	Drugs used in hereditary angioedema	ATC
B06AC01	c1-inhibitor, plasma derived	ATC
B06AC02	icatibant	ATC
B06AC03	ecallantide	ATC
B06AC04	conestat alfa	ATC
B06AC05	lanadelumab	ATC
B06AC05	lanadelumab	ATC
B06AX	Other hematological agents	ATC
B06AX01	crizanlizumab	ATC
B06AX02	betibeglogene autotemcel	ATC
C01A	CARDIAC GLYCOSIDES	ATC
C01AA	Digitalis glycosides	ATC
C01AA01	acetyldigitoxin	ATC
C01AA02	acetyldigoxin	ATC
C01AA03	digitalis leaves	ATC
C01AA04	digitoxin	ATC
C01AA04	digitoxin	ATC
C01AA05	digoxin	ATC
C01AA05	digoxin	ATC
C01AA06	lanatoside C	ATC
C01AA06	lanatoside C	ATC
C01AA07	deslanoside	ATC
C01AA08	metildigoxin	ATC
C01AA08	metildigoxin	ATC
C01AA09	gitoformate	ATC
C01AA52	acetyldigoxin, combinations	ATC
C01AB	Scilla glycosides	ATC
C01AB01	proscillaridin	ATC
C01AB51	proscillaridin, combinations	ATC
C01AC	Strophanthus glycosides	ATC
C01AC01	g-strophanthin	ATC
C01AC03	cymarin	ATC
C01AX	Other cardiac glycosides	ATC
C01AX02	peruvoside	ATC
C01B	ANTIARRHYTHMICS, CLASS I AND III	ATC
C01BA	Antiarrhythmics, class Ia	ATC
C01BA01	quinidine	ATC
C01BA02	procainamide	ATC
C01BA02	procainamide	ATC
C01BA03	disopyramide	ATC
C01BA03	disopyramide	ATC
C01BA04	sparteine	ATC
C01BA05	ajmaline	ATC
C01BA08	prajmaline	ATC
C01BA12	lorajmine	ATC
C01BA13	hydroquinidine	ATC
C01BA51	quinidine, combinations excl. psycholeptics	ATC
C01BA71	quinidine, combinations with psycholeptics	ATC
C01BB	Antiarrhythmics, class Ib	ATC
C01BB01	lidocaine	ATC
C01BB02	mexiletine	ATC
C01BB02	mexiletine	ATC
C01BB03	tocainide	ATC
C01BB03	tocainide	ATC
C01BB04	aprindine	ATC
C01BB04	aprindine	ATC
C01BC	Antiarrhythmics, class Ic	ATC
C01BC03	propafenone	ATC
C01BC03	propafenone	ATC
C01BC04	flecainide	ATC
C01BC04	flecainide	ATC
C01BC07	lorcainide	ATC
C01BC08	encainide	ATC
C01BC09	ethacizine	ATC
C01BD	Antiarrhythmics, class III	ATC
C01BD01	amiodarone	ATC
C01BD01	amiodarone	ATC
C01BD02	bretylium tosilate	ATC
C01BD03	bunaftine	ATC
C01BD04	dofetilide	ATC
C01BD05	ibutilide	ATC
C01BD06	tedisamil	ATC
C01BD07	dronedarone	ATC
C01BG	Other antiarrhythmics, class I and III	ATC
C01BG01	moracizine	ATC
C01BG07	cibenzoline	ATC
C01BG11	vernakalant	ATC
C01C	CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES	ATC
C01CA	Adrenergic and dopaminergic agents	ATC
C01CA01	etilefrine	ATC
C01CA01	etilefrine	ATC
C01CA02	isoprenaline	ATC
C01CA02	isoprenaline	ATC
C01CA03	norepinephrine	ATC
C01CA04	dopamine	ATC
C01CA05	norfenefrine	ATC
C01CA06	phenylephrine	ATC
C01CA07	dobutamine	ATC
C01CA08	oxedrine	ATC
C01CA08	oxedrine	ATC
C01CA09	metaraminol	ATC
C01CA10	methoxamine	ATC
C01CA11	mephentermine	ATC
C01CA12	dimetofrine	ATC
C01CA13	prenalterol	ATC
C01CA14	dopexamine	ATC
C01CA15	gepefrine	ATC
C01CA16	ibopamine	ATC
C01CA17	midodrine	ATC
C01CA18	octopamine	ATC
C01CA19	fenoldopam	ATC
C01CA21	cafedrine	ATC
C01CA22	arbutamine	ATC
C01CA23	theodrenaline	ATC
C01CA24	epinephrine	ATC
C01CA25	amezinium metilsulfate	ATC
C01CA26	ephedrine	ATC
C01CA27	droxidopa	ATC
C01CA30	combinations	ATC
C01CA51	etilefrine, combinations	ATC
C01CE	Phosphodiesterase inhibitors	ATC
C01CE01	amrinone	ATC
C01CE02	milrinone	ATC
C01CE03	enoximone	ATC
C01CE04	bucladesine	ATC
C01CX	Other cardiac stimulants	ATC
C01CX06	angiotensinamide	ATC
C01CX07	xamoterol	ATC
C01CX08	levosimendan	ATC
C01CX09	angiotensin II	ATC
C01D	VASODILATORS USED IN CARDIAC DISEASES	ATC
C01DA	Organic nitrates	ATC
C01DA02	glyceryl trinitrate	ATC
C01DA02	glyceryl trinitrate	ATC
C01DA02	glyceryl trinitrate	ATC
C01DA02	glyceryl trinitrate	ATC
C01DA04	methylpropylpropanediol dinitrate	ATC
C01DA05	pentaerithrityl tetranitrate	ATC
C01DA07	propatylnitrate	ATC
C01DA08	isosorbide dinitrate	ATC
C01DA08	isosorbide dinitrate	ATC
C01DA08	isosorbide dinitrate	ATC
C01DA08	isosorbide dinitrate	ATC
C01DA09	trolnitrate	ATC
C01DA13	eritrityl tetranitrate	ATC
C01DA14	isosorbide mononitrate	ATC
C01DA20	organic nitrates in combination	ATC
C01DA38	tenitramine	ATC
C01DA52	glyceryl trinitrate, combinations	ATC
C01DA54	methylpropylpropanediol dinitrate, combinations	ATC
C01DA55	pentaerithrityl tetranitrate, combinations	ATC
C01DA57	propatylnitrate, combinations	ATC
C01DA58	isosorbide dinitrate, combinations	ATC
C01DA59	trolnitrate, combinations	ATC
C01DA63	eritrityl tetranitrate, combinations	ATC
C01DA70	organic nitrates in combination with psycholeptics	ATC
C01DB	Quinolone vasodilators	ATC
C01DB01	flosequinan	ATC
C01DX	Other vasodilators used in cardiac diseases	ATC
C01DX01	itramin tosilate	ATC
C01DX02	prenylamine	ATC
C01DX03	oxyfedrine	ATC
C01DX03	oxyfedrine	ATC
C01DX04	benziodarone	ATC
C01DX05	carbocromen	ATC
C01DX06	hexobendine	ATC
C01DX07	etafenone	ATC
C01DX08	heptaminol	ATC
C01DX08	heptaminol	ATC
C01DX09	imolamine	ATC
C01DX10	dilazep	ATC
C01DX11	trapidil	ATC
C01DX12	molsidomine	ATC
C01DX13	efloxate	ATC
C01DX14	cinepazet	ATC
C01DX15	cloridarol	ATC
C01DX16	nicorandil	ATC
C01DX18	linsidomine	ATC
C01DX19	nesiritide	ATC
C01DX21	serelaxin	ATC
C01DX22	vericiguat	ATC
C01DX51	itramin tosilate, combinations	ATC
C01DX52	prenylamine, combinations	ATC
C01DX53	oxyfedrine, combinations	ATC
C01DX54	benziodarone, combinations	ATC
C01E	OTHER CARDIAC PREPARATIONS	ATC
C01EA	Prostaglandins	ATC
C01EA01	alprostadil	ATC
C01EB	Other cardiac preparations	ATC
C01EB02	camphora	ATC
C01EB03	indometacin	ATC
C01EB04	crataegus glycosides	ATC
C01EB05	creatinolfosfate	ATC
C01EB06	fosfocreatine	ATC
C01EB07	fructose 1,6-diphosphate	ATC
C01EB09	ubidecarenone	ATC
C01EB10	adenosine	ATC
